,country,points,price,review_sentiment,variety
456,39.0,89,18.0,0.32,Chardonnay
457,39.0,89,17.0,0.22,Chardonnay
458,32.0,89,13.0,0.17,Grüner Veltliner
459,39.0,89,41.0,0.21,Malbec
460,32.0,89,16.0,0.14,Riesling
461,38.0,89,20.0,0.2,Rhône-style Red Blend
462,39.0,89,30.0,0.17,Cabernet Sauvignon
463,32.0,89,24.0,0.5,Riesling
464,39.0,89,36.0,0.21,Sangiovese
465,39.0,87,20.0,0.27,Cabernet Sauvignon
466,20.0,87,15.0,0.32,Sauvignon Blanc
467,39.0,87,69.0,0.11,Cabernet Sauvignon
468,39.0,87,36.0,0.13,Cabernet Franc
469,34.0,87,35.0,0.22,Red Blend
470,33.0,87,30.0,-0.05,Red Blend
471,36.0,87,15.0,0.27,Portuguese White
472,39.0,87,20.0,0.25,Grüner Veltliner
473,39.0,87,17.0,0.25,Sauvignon Blanc
474,39.0,87,54.0,0.04,Pinot Noir
475,36.0,87,12.0,0.17,Portuguese White
476,33.0,87,11.0,0.41,Malbec
477,39.0,87,45.0,0.19,Chardonnay
478,39.0,87,35.0,0.48,Merlot
479,37.0,87,16.0,0.31,Chardonnay
480,39.0,87,28.0,0.12,Pinot Noir
481,39.0,87,25.0,0.24,Red Blend
482,39.0,87,28.0,0.4,Red Blend
483,39.0,87,20.0,0.24,Red Blend
484,37.0,87,19.0,0.12,White Blend
485,39.0,92,75.0,0.05,Pinot Noir
486,39.0,92,48.0,-0.01,Pinot Noir
487,38.0,92,54.0,0.36,Gewürztraminer
488,38.0,92,34.0,0.31,Riesling
489,39.0,92,48.0,0.42,Zinfandel
490,38.0,92,36.0,0.16,Riesling
491,38.0,92,30.0,0.12,Pinot Gris
492,39.0,92,37.0,0.08,Chardonnay
493,39.0,92,25.0,0.13,Pinot Gris
494,36.0,92,30.0,-0.0,Portuguese Red
495,39.0,92,60.0,0.37,Chardonnay
496,39.0,92,40.0,-0.05,Cabernet Sauvignon
497,39.0,92,50.0,0.3,Pinot Noir
498,36.0,92,23.0,0.11,Portuguese Red
499,36.0,92,80.0,0.19,Portuguese Red
500,31.0,92,34.0,0.11,Riesling
501,39.0,92,75.0,-0.36,Cabernet Sauvignon
502,38.0,92,39.0,0.15,Riesling
503,29.0,92,21.0,0.05,Riesling
504,38.0,92,43.0,0.12,Riesling
505,39.0,92,30.0,0.44,Zinfandel
506,39.0,92,70.0,-0.1,Pinot Noir
507,28.0,92,50.0,-0.02,Rhône-style Red Blend
508,39.0,90,40.0,0.09,Chardonnay
509,39.0,90,45.0,0.5,Cabernet Sauvignon
510,39.0,90,80.0,0.05,Cabernet Sauvignon
511,39.0,90,15.0,0.35,Pinot Grigio
